team,conf,games,wins,losses,adj_t,adj_o,adj_d,barthag,efg,def_efg,ftr,def_ftr,oreb_rate,dreb_rate,tov_rate,def_tov_rate,two_pt_pct,three_pt_pct,ft_pct,def_two_pt_pct,def_three_pt_pct,def_ft_pct,three_fg_rate,def_three_fg_rate,block_rate,block_rate_allowed,assist_rate,def_assist_rate,wab,year
Duke,ACC,30,27,3,66.2689,129.365,91.5285,0.981637,57.6,44,31.7,25.9,35.8,26.3,14.1,18.1,57.6,38.5,78.3,42.7,30.7,NA,45.5,37.7,0,0,59.3,52.4,7.43061,2025
Houston,B12,30,26,4,61.5035,125.839,89.2698,0.981079,52.7,45.3,26.8,35.6,36.9,28.7,14.6,22.1,49.3,39.6,73.9,43.7,31.6,NA,33.8,43.4,0,0,46.2,56.2,8.9575,2025
Auburn,SEC,30,27,3,68.5271,130.968,94.6156,0.976775,56.1,45.6,33.9,39.1,35.1,30.5,13.3,17.4,56.4,37.2,75,46.3,29.6,NA,40.8,34.4,0,0,54.8,40.1,12.403,2025
Florida,SEC,30,26,4,69.7348,125.753,94.7352,0.96293,54.4,45.1,31.6,31.6,38,28.5,15,17.6,55.6,35.2,71.3,45.7,29.5,NA,43.3,37,0,0,52.4,46.4,8.39722,2025
Alabama,SEC,30,23,7,74.9871,128.474,97.9727,0.957587,56.5,47.4,40.9,33.3,35.6,29.7,16.9,13.6,59.8,35.1,71.8,48.5,30.1,NA,46.7,35,0,0,54.6,42.4,8.36922,2025
Tennessee,SEC,30,24,6,64.2173,117.653,90.332,0.954297,52.6,44.1,32.9,27.9,35.7,29.4,16.3,18.4,53.1,34.7,74.8,45.9,27.9,NA,43.2,45.3,0,0,60.6,46,7.82883,2025
Texas Tech,B12,30,23,7,66.1555,125.246,97.0113,0.94968,55.8,47.9,29.2,33.2,34.2,28.4,15.4,18.1,55,37.9,77.1,48,31.9,NA,44,34.8,0,0,58.5,46,4.84886,2025
Arizona,B12,30,20,10,70.4456,122.737,96.5707,0.940327,52.6,48.1,37.1,29.4,36.9,27.9,16.4,17.2,55.5,31.6,78.1,47.1,32.9,NA,35.3,42.1,0,0,59,53.5,4.20975,2025
Wisconsin,B10,30,23,7,67.8089,123.914,97.5457,0.940003,54.7,48.1,33.9,26.9,28.3,26.5,14.4,14.6,56.6,35.1,83.4,47.4,32.9,NA,47.5,38.8,0,0,54.3,47.6,5.2753,2025
Gonzaga,WCC,31,23,8,70.4452,124.673,98.2186,0.9395,56.4,47.6,30.9,28.8,33.2,26.3,13.5,17.9,58.2,35.3,80.3,49,30.4,NA,34,40.9,0,0,61.9,48.5,1.79255,2025
BYU,B12,30,22,8,67.3927,125.733,99.0668,0.939415,57.6,50.3,30,29.9,33.5,24.6,17.7,17.2,59.2,37.3,69.3,49.3,34.4,NA,48,44,0,0,59.3,53.5,3.87076,2025
Missouri,SEC,30,21,9,68.311,128.116,101.216,0.937631,56.7,50.2,47.5,34.1,33.4,32.2,15.2,20.5,57.3,37.3,72.8,50.5,33.2,NA,42.1,37.8,0,0,50.6,47.8,3.09756,2025
Purdue,B10,31,21,10,65.5576,125.497,99.3144,0.93649,57,51.9,34.4,31,30.4,29.3,15.8,18.1,56.4,38.6,73.2,56.2,30.8,NA,38.2,42.7,0,0,58.2,57.5,4.23551,2025
Iowa St.,B12,30,22,8,68.9827,117.677,93.2009,0.935935,53.9,48.3,40,28.6,32.4,28.4,16.8,22.1,54.6,35.1,75.5,47.4,33.2,NA,36.4,39.6,0,0,54.1,53.5,4.44205,2025
Maryland,B10,30,23,7,70.1814,117.634,93.3997,0.93419,54.2,47.3,32.1,25.7,31,26.2,14.7,19.9,53.6,36.8,75.1,47.6,31.1,NA,35.8,36,0,0,49.8,48.7,4.03569,2025
Michigan St.,B10,30,25,5,68.1578,116.827,93.231,0.930509,51.2,46,37.1,32,35.9,25,16.7,16.3,54.3,29.9,78.7,48.3,28.5,NA,32.6,41,0,0,62.1,53.6,7.18222,2025
Illinois,B10,31,20,11,71.7605,122.577,97.8462,0.930309,52.3,46.6,34.4,26.9,35.6,26.3,15.7,13.1,57.6,31,75.8,45.9,32.2,NA,47.3,30.2,0,0,51.7,44.8,3.23543,2025
Kentucky,SEC,30,20,10,71.0588,125.257,100.076,0.929627,56.3,49.9,34.3,31.1,29.2,26.1,15,14.1,56.5,37.3,74.2,53.5,30.1,NA,42.2,43.8,0,0,57,46.8,4.46318,2025
St. John's,BE,30,26,4,70.2989,112.348,90.2627,0.925332,49.5,46.5,31.3,30.5,37.8,29,15.8,22,51.4,30.2,68.7,45,32.6,NA,30.8,40,0,0,53.7,56.8,5.71357,2025
Saint Mary's,WCC,31,27,4,62.2215,117.065,94.0874,0.925035,51.2,46.4,31.2,25.5,40.2,25.1,14.8,17.1,51.4,33.9,69.9,45.6,32.1,NA,33.8,31.6,0,0,58,54.8,4.51767,2025
Kansas,B12,30,19,11,68.8418,115.13,92.6148,0.924317,53.1,45.2,24.3,27.2,29.8,27.7,16.9,15.8,54,34.1,71,45.4,30,NA,33.8,41,0,0,60.7,53.5,3.23577,2025
Louisville,ACC,30,24,6,69.3932,118.965,95.7319,0.924047,53.8,49.5,35.4,26.6,32,27,16.4,19,57.3,33.5,74.6,48.9,33.6,NA,49.2,39.5,0,0,52.6,46.5,4.43562,2025
Clemson,ACC,30,25,5,64.4207,120.794,97.3322,0.922977,54.6,49.1,28,27.5,33.7,30,15.5,19.6,52.6,38.5,76.9,49,32.9,NA,39,38.2,0,0,53.5,43.5,4.69219,2025
Texas A&M,SEC,30,21,9,66.5309,116.611,94.2972,0.920012,47.7,48.4,40.9,34.8,42.2,28.4,18.2,20.3,48.6,30.8,69.5,47,33.4,NA,37.6,47.5,0,0,48.5,66,5.20962,2025
UCLA,B10,30,21,9,65.2264,117.779,95.5831,0.916931,52.9,49.9,33.3,35,32.7,29.1,16.1,22.8,53.1,35.1,70.6,51.5,32,NA,35.7,44.6,0,0,59.9,57.3,3.23468,2025
Michigan,B10,30,22,8,69.8744,115.977,95.993,0.897969,55.4,46.9,35.3,27.6,33.4,30,20.1,16.5,58.3,34.3,71.7,46.5,31.8,NA,42.4,38.4,0,0,57.6,43.4,4.34341,2025
Marquette,BE,30,22,8,67.8139,116.498,96.5022,0.897116,52.1,49.7,26,29.9,30.7,31.1,13.3,22.3,55.1,32.4,73.2,51.2,31.7,NA,46.3,40.7,0,0,50.3,60.6,3.82778,2025
Mississippi,SEC,30,21,9,68.3138,118.236,98.0225,0.89624,51.7,50,35.8,39.5,25.3,30.3,12.6,20.5,51.5,34.7,73.4,50.8,32.6,NA,40.5,43.6,0,0,55.3,58.4,4.60062,2025
Georgia,SEC,30,19,11,66.7472,116.211,96.5277,0.894177,52.5,46.9,39.3,29.8,36.1,31.9,18.9,18,54.2,33.1,72,47.8,30.3,NA,36.5,40.2,0,0,48.4,49.1,2.17785,2025
VCU,A10,31,25,6,66.6296,116.862,97.0776,0.894079,52.7,45.1,32,36.7,36.9,29,16.7,20.8,54.1,34,74.5,44.5,30.9,NA,47.2,35.2,0,0,56.7,45.5,0.416458,2025
Baylor,B12,30,18,12,65.2753,120.091,100.438,0.886474,52,51.6,31.7,34.1,35.5,31,16.6,19.3,51.6,35.1,74.3,50.3,35.7,NA,40.6,40.3,0,0,54,61,1.85404,2025
Creighton,BE,30,21,9,68.0883,116.728,97.9802,0.882201,55.9,46.2,29.3,17.6,26,27,18.4,11.8,60.7,34,74.2,45.5,31.6,NA,49.4,35.6,0,0,64.1,43.7,2.4246,2025
Mississippi St.,SEC,30,20,10,68.0449,117.633,99.0129,0.878862,51.7,51.6,32,34.2,34.6,29.4,15.5,19.1,55.4,31,69.9,49.1,36.6,NA,41.8,44.3,0,0,53.9,53.2,3.35097,2025
West Virginia,B12,30,18,12,64.5268,110.886,93.4718,0.877037,50.1,46.2,25.7,32,25.2,30.8,15.8,19.3,51,32.7,72.5,47.4,29.5,NA,46,36.5,0,0,56.3,46.4,1.89174,2025
Xavier,BE,30,20,10,69.315,116.091,97.9932,0.875337,53.7,50,37.3,28.7,25.1,25.7,16.1,17.8,51.2,38.6,79.2,50.5,32.8,NA,37.4,36.4,0,0,63.6,56,0.632657,2025
Connecticut,BE,30,21,9,64.3334,122.116,103.47,0.870499,55.4,48.5,31.3,39.9,35.5,27.8,17,15.7,57.1,35.4,78.6,46.1,35.4,NA,42.7,33.9,0,0,64.8,44.3,2.08839,2025
Vanderbilt,SEC,30,20,10,69.9219,119.987,101.802,0.868763,52.1,53,33.4,37.2,32.3,29.8,14.6,20.3,53.8,33.1,74.9,51.5,37,NA,40.2,37.7,0,0,50.5,48.6,2.37974,2025
New Mexico,MWC,30,24,6,73.8473,112.623,95.75,0.866058,51.2,49.4,38,35.6,31.3,25.4,15.9,20.3,51.1,34.2,69.2,47.9,34.5,NA,33,37.9,0,0,51.4,60.5,3.02342,2025
Ohio St.,B10,30,17,13,67.6409,117.927,100.259,0.866057,54,48.4,36.2,40,28.8,30.4,15.6,16.8,52.7,37.5,75,50.2,30.2,NA,37.4,37.4,0,0,48,47.1,0.0288498,2025
Oregon,B10,30,22,8,68.1062,116.132,98.8265,0.864796,52.1,49.5,33.1,27,31.1,29.5,15.9,18,52.4,34.4,76.8,50.7,31.7,NA,38.7,38.4,0,0,54.5,48.8,4.85601,2025
North Carolina,ACC,31,20,11,71.1177,119.681,102.101,0.861394,54.8,49.9,35.2,29.9,29.7,27.2,15.3,15.1,55.8,35.4,73.7,48.9,34.2,NA,36.6,38.2,0,0,50.9,48.4,1.11695,2025
Boise St.,MWC,30,22,8,66.1682,116.194,99.1277,0.861385,52.7,49.2,39.6,30.5,33,22.6,16.8,16.3,56.2,31.8,77.6,48.9,33.2,NA,41.4,36,0,0,56.6,44.1,0.339619,2025
Cincinnati,B12,30,17,13,65.357,112.085,95.7332,0.859786,51.4,47.9,23.8,24,32.4,29.5,15.1,19.2,52.9,32.6,66.2,48.1,31.7,NA,37.8,34.8,0,0,50.5,49.4,-0.525872,2025
Santa Clara,WCC,31,20,11,69.3375,116.811,100.097,0.855181,55.7,49.2,29,32.4,32.6,27,16.9,17,54.9,37.8,72.7,51.4,30.7,NA,46.5,39.7,0,0,58.6,56.5,-2.25412,2025
SMU,ACC,30,22,8,69.4044,119.023,102.429,0.848983,55.1,48,36.8,31.9,37.6,30.8,17,17.5,53.8,38.4,71.9,46.5,33.5,NA,35.3,41.1,0,0,55.4,62.7,0.468581,2025
UC San Diego,BW,31,27,4,66.5083,114.106,98.215,0.848731,55.5,48.7,33.5,30.2,25.7,27.7,13.3,23.8,56.3,36.6,74.6,47.1,33.9,NA,49.4,43.6,0,0,56.4,50.6,0.698034,2025
Arkansas,SEC,30,18,12,69.5171,110.507,95.118,0.848708,52.5,48,34.7,29.3,27.1,28.3,16.5,18.2,54.1,33.1,72.9,48.5,31.5,NA,36.5,39.4,0,0,52.8,49.4,0.889523,2025
Utah St.,MWC,30,24,6,68.3391,123.001,106.19,0.844239,56.2,52.2,38.1,33.8,33.8,29.9,15.9,20.1,57.6,36.1,70.1,53,34.1,NA,41.3,44.2,0,0,61.8,58.4,2.56753,2025
Colorado St.,MWC,30,21,9,66.5411,116.022,100.26,0.842793,55.3,49,29.5,33.1,26.9,24.4,17.5,17,56.8,35.5,78.3,47.1,34.9,NA,43.1,36.1,0,0,64,46.4,-0.890928,2025
Villanova,BE,31,18,13,63.3973,120.024,104.012,0.838443,55.3,50.8,27.2,30.5,30.3,27.6,15.5,15.7,51.8,39.8,81.1,49.8,34.6,NA,43.8,46.4,0,0,49.6,60.7,-2.47694,2025
Texas,SEC,30,17,13,67.6415,116.367,100.941,0.836912,53,48.6,35.4,37.1,29.8,29.2,14.6,17.2,52.3,36.3,74.5,47.4,33.8,NA,35.9,35.8,0,0,48.5,48.6,-0.204948,2025
Oklahoma,SEC,30,18,12,68.7201,117.641,102.139,0.835483,55.1,50.9,39.5,36,27.3,31.5,17.8,18.3,55.1,36.7,79.8,55.3,30,NA,41.8,42.1,0,0,52.3,47.4,1.20793,2025
Kansas St.,B12,30,15,15,67.55,111.737,97.1849,0.832669,51.1,48.9,27.5,28.5,29.8,32.3,17.6,18.5,51.5,33.6,68.6,49.8,31.5,NA,40.3,35.4,0,0,59.5,55,-2.17643,2025
Northwestern,B10,30,16,14,65.0404,114.261,99.8025,0.825757,50.2,50.2,30.6,35.7,31.4,29.6,14.4,19.8,49.7,34.1,73.3,49.9,33.7,NA,34,39.2,0,0,55.2,61.8,-2.43532,2025
Indiana,B10,30,18,12,68.3535,113.824,99.4221,0.825742,51.9,49.7,33.1,29.7,31.3,28.5,16.8,16.3,53.5,32.6,70.7,50.3,32.5,NA,33.5,38.7,0,0,57.6,51.3,0.439703,2025
San Diego St.,MWC,28,20,8,66.0209,108.93,95.4939,0.819635,50.3,45.3,32,37,30.3,31.2,16.9,19.8,51.3,32.5,67.3,44.5,30.8,NA,39,46.3,0,0,50.1,51,1.30846,2025
Drake,MVC,31,28,3,59.152,114.097,100.18,0.816961,54.2,52,42.3,36.8,36.4,25.8,18.7,22,54.8,35.4,70.7,54.2,32.3,NA,36.8,38.3,0,0,54.5,46.2,2.05963,2025
