team,conf,games,wins,losses,adj_t,adj_o,adj_d,barthag,efg,def_efg,ftr,def_ftr,oreb_rate,dreb_rate,tov_rate,def_tov_rate,two_pt_pct,three_pt_pct,ft_pct,def_two_pt_pct,def_three_pt_pct,def_ft_pct,three_fg_rate,def_three_fg_rate,block_rate,block_rate_allowed,assist_rate,def_assist_rate,wab,year
Gonzaga,WCC,32,31,1,73.5317,125.912,90.9397,0.976841,61,47.7,35.8,25.7,30.1,23.8,16.1,19.3,63.9,36.8,73,47,32.7,NA,33.2,33.7,0,0,55.7,45.5,8.50059,2021
Baylor,B12,30,28,2,67.7334,124.885,92.9193,0.967708,56.5,48.9,26.5,31.3,37.3,30.6,16.5,24.4,53.2,41.3,70.8,48.7,32.9,NA,38.4,34.3,0,0,55.3,51.8,6.69108,2021
Houston,Amer,32,28,4,64.2948,119.127,91.2658,0.955375,50.4,43.9,31.3,41.2,39.8,27.9,16.2,21.1,49,34.8,73.3,43.4,29.9,NA,42.2,37.7,0,0,52.1,53.3,4.0483,2021
Illinois,B10,31,24,7,70.4505,116.916,90.6492,0.949131,55.6,46.5,37.9,30.1,32.2,22.1,18.1,16.1,55.4,37.2,69,45.1,32.9,NA,30,32.6,0,0,55.6,45.1,8.81379,2021
Michigan,B10,28,23,5,66.5686,116.558,90.6013,0.947704,54.7,44.4,30.4,24.3,29.6,24.7,16.6,14.8,53.5,38.1,76.9,42.6,32.2,NA,33.9,31.9,0,0,57.5,42,7.06352,2021
Iowa,B10,31,22,9,69.8237,123.428,97.1894,0.939826,54.7,48.8,32,22.2,30.9,29.1,13.3,16.1,52.6,38.6,71.5,46.6,34.8,NA,39.8,39.5,0,0,63.9,60.2,5.48832,2021
USC,P12,33,25,8,66.8426,114.305,90.5091,0.936096,52.7,44.9,36.3,24.1,35,28.3,18,16.9,52.2,36,64.9,42.1,33.3,NA,31,35.1,0,0,50.7,53.8,5.54184,2021
Colorado,P12,32,23,9,66.0712,115.689,92.496,0.929107,52.4,47.9,29.5,29.1,30.8,25.5,17.1,19.8,50.4,37.3,81.9,46.8,33.3,NA,36.4,35.1,0,0,52.7,48.4,4.86527,2021
Alabama,SEC,33,26,7,73.3149,111.947,89.6721,0.927674,51.7,45.8,28.8,30.7,32.2,29.2,18.6,20.5,50.7,35.2,70.8,46.8,29.1,NA,46.5,34.3,0,0,50,43.8,6.88226,2021
Florida St.,ACC,25,18,7,69.6441,115.21,93.0454,0.921083,54,46.1,32.4,35.2,34.4,31.7,20.4,19.5,52.7,37.6,74.1,44.5,32.5,NA,34.9,39.5,0,0,52.4,51.4,2.38519,2021
Ohio St.,B10,31,21,10,66.6032,120.409,97.319,0.920443,52.9,48.7,37.2,33.5,29.3,27,15.5,14.7,52.2,36,75.6,47.2,34,NA,39.2,38.4,0,0,49.6,54.9,5.99733,2021
Wisconsin,B10,31,18,13,64.5983,112.512,91.3479,0.916554,49.9,47.9,26.2,28.4,23.9,25.2,13.6,17.3,46.6,36.5,76.8,46.6,33.5,NA,40.8,33.5,0,0,54,52.8,2.06071,2021
Loyola Chicago,MVC,31,26,5,63.4473,109.663,89.1958,0.914955,55.7,47.2,31.5,22.7,27.1,20.9,18.3,21.5,57.2,35.4,72.7,46.3,32.5,NA,37.1,33.5,0,0,60.8,46,1.84705,2021
Villanova,BE,25,18,7,64.1365,118.462,96.8015,0.910698,53.2,51,30,25.6,27.7,25.7,13.7,18.4,53.4,35.3,76.3,50.7,34.3,NA,44.8,40.5,0,0,57.1,48.9,3.06474,2021
Connecticut,BE,23,15,8,65.1799,114.089,93.5043,0.907896,49,46.7,29,36.8,37.4,29.5,17.5,19.6,48.3,33.5,72.2,45.8,32.4,NA,33.4,33.3,0,0,49.3,47.1,2.03601,2021
Texas Tech,B12,29,18,11,65.345,111.948,91.8984,0.906326,49.4,47.7,37.9,35.6,33.4,30,16,23.7,47.8,35.3,71,45.5,34.2,NA,31.3,38.2,0,0,51.2,45,0.926593,2021
San Diego St.,MWC,28,23,5,65.5288,111.246,91.5095,0.904305,52.4,47.5,33.2,32.5,30.1,24.3,16.7,22.4,50.4,36.8,71.5,44.9,33.8,NA,40.4,45.9,0,0,54.2,59.9,3.07645,2021
UCLA,P12,32,22,10,63.7093,115.948,95.5723,0.902253,52,50.4,31.6,28.2,30.5,25.1,15.7,17.5,50.3,37.2,71.5,50.4,33.7,NA,31.6,37.7,0,0,51.1,49.7,2.63889,2021
Texas,B12,27,19,8,68.6542,112.673,93.1138,0.899593,52.9,46,33.9,35.9,31.1,27.5,20.7,17.8,52.5,35.6,71,45.3,31.7,NA,42.1,33.1,0,0,50.6,41.5,4.15803,2021
West Virginia,B12,29,19,10,69.2055,116.149,96.4833,0.89409400000000006,48.9,51,37.9,27.9,35.9,31.1,16.8,21,46.1,36.4,71.9,51.5,33.5,NA,33.1,38,0,0,52.8,52.7,3.02015,2021
LSU,SEC,29,19,10,70.3404,119.793,99.5261,0.893923,52.3,48.5,34,29.8,31.4,32.1,15.6,17.9,52.4,34.7,75.1,51.3,30,NA,37,44,0,0,42,51.6,2.25985,2021
Virginia,ACC,25,18,7,59.7051,113.724,94.4908,0.893841,55.4,48,21.7,24.7,22.7,22.6,15,15.2,54.9,37.5,81.6,46.2,33.9,NA,42.7,37.5,0,0,54.8,52.9,3.52176,2021
Memphis,Amer,28,20,8,71.5177,104.584,86.9541,0.893119,50.9,44.4,32.7,35.3,33.5,23.7,21.7,22,48.9,36.3,61.7,46.2,27.7,NA,36.1,39.4,0,0,60.7,50.8,-1.08701,2021
Creighton,BE,31,22,9,68.6286,112.587,93.63,0.892866,55,47,25.7,25.5,24.6,28.3,15.7,17.9,55.7,36.1,64,46.7,31.7,NA,43.6,39.3,0,0,55.4,52.7,3.2547,2021
BYU,WCC,27,20,7,67.8031,112.949,93.984,0.892237,54.9,46.9,27.9,29.4,28.7,23.4,19,15.7,54.8,36.7,73,45.8,32.8,NA,38.6,34.7,0,0,55.6,46.2,3.55014,2021
Arkansas,SEC,32,25,7,72.5146,109.759,91.413,0.891223,50.7,47.9,32.7,29,31.7,26.5,17.1,20.1,51.2,33.2,74,46.3,33.6,NA,33.9,37.7,0,0,49.7,48.3,4.56412,2021
Tennessee,SEC,27,18,9,66.7364,107.655,89.9793,0.887213,49.6,46.3,34.4,30.6,31.3,28.7,18.2,22.8,49.6,33.1,74.6,44.9,32.4,NA,34.6,38.1,0,0,58.8,46.4,2.34462,2021
Arizona,P12,26,17,9,67.8775,114.693,95.8949,0.886815,50.5,49.2,41.8,32.4,34.3,24.4,17.2,18,48.1,37.2,72.7,48,34.1,NA,31.4,36.7,0,0,60.4,46.3,1.32823,2021
Purdue,B10,28,18,10,66.2641,112.334,94.3036,0.882047,51,48.8,31.7,30.1,32.8,24.3,18.6,16.8,51.7,33.3,71.1,49.7,31.8,NA,37.8,45.3,0,0,55.9,60,3.72775,2021
Oregon,P12,28,21,7,67.1321,115.897,97.4647,0.879951,54.3,50.8,26,26.7,29,27.7,16.7,20.2,52.9,37.7,71.1,50.4,34.3,NA,37.6,38.8,0,0,49.6,54.7,4.75372,2021
Kansas,B12,30,21,9,68.1063,108.751,91.5795,0.87829,49.4,48,29.8,26.8,30.5,26.8,17.1,20,48.9,33.6,71.8,46.7,33.5,NA,36.4,37.6,0,0,52.8,48.1,4.33764,2021
Duke,ACC,24,13,11,68.2538,114.869,97.0829,0.873756,53.6,51.3,23.4,31.9,32.2,29,18.4,19.9,54.1,35.1,69.1,50.3,35.6,NA,38.7,32.3,0,0,55.5,48.8,-1.80153,2021
Georgia Tech,ACC,26,17,9,67.2583,113.785,96.1774,0.873614,54.1,52.4,28.4,28.9,24.4,30.4,16.1,22.7,55.2,34.8,72.6,50.8,36.9,NA,36.5,35.2,0,0,56.9,55.1,1.84549,2021
Maryland,B10,31,17,14,64.7861,111.89,94.8656,0.869681,53.2,48.7,31.8,25,20.6,26.5,16.7,16.8,53.3,35.3,70,46.2,34.8,NA,43.1,41.9,0,0,53.8,52.3,0.0610263,2021
St. Bonaventure,A10,21,16,5,64.3888,109.762,93.253,0.866975,49.8,45.5,28,28.6,32.8,29,16.4,19.2,48.9,34.4,73.8,45.2,30.7,NA,31.9,43.1,0,0,56.5,56.8,1.88761,2021
Oklahoma St.,B12,30,21,9,72.0105,108.501,92.2591,0.865857,51.2,47.1,37.6,31.3,31.3,30.1,20.9,19.7,52,33.2,71,46.7,31.9,NA,32.2,37.5,0,0,47.1,48.2,4.84779,2021
North Carolina,ACC,29,18,11,71.587,109.067,93.0378,0.861525,48.3,49.1,34.2,26.9,40.9,26.4,20.4,19,48.5,31.8,66.8,47,35,NA,27.9,38.4,0,0,55.3,51.2,2.44104,2021
Syracuse,ACC,28,18,10,68.5474,113.372,96.8007,0.860234,51.2,48,28.3,24.1,29.2,34,16.4,20.2,50.6,34.8,78.2,48.4,31.7,NA,40.5,44.3,0,0,56.4,68.5,0.533037,2021
Florida,SEC,25,15,10,68.2256,110.221,94.4037,0.85588,53.1,47.8,33.9,35.1,31,30.6,21.2,20.2,53,35.6,75.3,48.8,30.7,NA,33.8,36.2,0,0,44.2,51.1,1.18038,2021
Oklahoma,B12,27,16,11,67.0835,111.727,95.7621,0.854859,50.8,49.1,29.3,23.7,27,27.7,15.7,18.5,50.6,34.1,74.5,46.3,35.7,NA,38.2,38.4,0,0,49.7,47.5,0.299118,2021
Missouri,SEC,26,16,10,68.2659,111.156,95.5617,0.850481,50.8,48.5,37.1,36.6,28.5,28.8,18.7,18,52,32.5,70.1,47.9,33.1,NA,37.9,32.8,0,0,51.6,45.1,2.08216,2021
Rutgers,B10,28,16,12,67.4413,106.713,92.0863,0.84492,50.1,47.3,27.1,32.4,27.7,29.7,16.8,18.9,51.7,31.2,63.6,46.7,32.3,NA,33.4,35.5,0,0,51.8,56.3,1.74894,2021
Clemson,ACC,24,16,8,64.2062,105.872,91.5286,0.842131,50,48.7,23.2,28.9,26.6,26.9,19.4,21.6,48.6,34.5,76.9,47.7,33.4,NA,43.4,40.9,0,0,56.8,50.9,2.89508,2021
VCU,A10,26,19,7,69.7589,104.487,90.3338,0.842082,50.9,45.8,34,35.4,28.5,31.4,20.7,23.6,51.7,32.9,76.1,45.9,30.5,NA,34.9,35.1,0,0,52.7,51.2,1.02044,2021
Penn St.,B10,25,11,14,68.8552,111.133,96.1818,0.840452,47.9,53,27.8,33.5,31.9,24.8,16.3,19.7,45.8,33.8,73.8,53.9,34.5,NA,41.9,38.4,0,0,51.6,55.9,-0.596788,2021
Utah St.,MWC,29,20,9,68.7413,104.324,90.3578,0.839272,49.8,45.6,29.2,25.6,35.3,21.4,20.1,19.5,49.8,33.2,71.3,42.9,33.2,NA,32.6,39.8,0,0,60.6,51.9,-1.13157,2021
Kentucky,SEC,25,9,16,68.1154,108.299,93.8123,0.839079,47.1,46.7,34.5,29.7,32.6,30.5,19.8,17.9,45.5,33.7,72.9,46.6,31.2,NA,32.2,34.5,0,0,50.7,48.9,-4.1627,2021
