team,Predicted_BARTHAG_Mean,Predicted_BARTHAG_Std,Adjusted_Std_Dev
Connecticut,0.9927328432274726,0.001859725484439396,0.00033953786619822664
South Carolina,0.9886620501498419,0.0027446703297137856,0.0005011059508331274
Texas,0.9841010723097139,0.00393637762751253,0.000718680940482427
Notre Dame,0.9819622938934515,0.004008932574992947,0.0007319276009469693
UCLA,0.979146115269777,0.004818436909717304,0.000879722195789217
USC,0.9754005506327421,0.005709032273509803,0.0010423219192421073
Duke,0.9674163023607222,0.006391763257695373,0.001166970972824154
TCU,0.9704006107360896,0.006375900598496335,0.0011640748607357108
West Virginia,0.9574064907722126,0.008553243263400873,0.0015616014250645863
Oklahoma,0.955207499803262,0.008803088415369576,0.0015810813536108561
Ohio St.,0.9503315533764091,0.009502328139305781,0.0017348798235712897
Kansas St.,0.9585389042947725,0.008114091732099673,0.001481423691779052
Kentucky,0.9569096600337149,0.0079327942610049,0.0014247719091640518
LSU,0.955456755192654,0.009088639868823594,0.001659351024398492
Mississippi,0.9536580231220183,0.008707469260771518,0.0015897591109691313
Alabama,0.9539379353475953,0.008485377114151515,0.0015492108181196246
Baylor,0.9496088917505493,0.009654825210192772,0.0017340577978923934
N.C. State,0.947407099211945,0.011146228402693324,0.0020350135757533036
North Carolina,0.9418726275571399,0.01071960306063186,0.0019571228012698295
Iowa,0.9424096835861332,0.009825941155188653,0.0017647911288749757
Tennessee,0.9474268664095707,0.00956911680425468,0.001747073709697345
Michigan,0.9402523436400654,0.010397000517548861,0.0018982239046181327
Michigan St.,0.9286811013902342,0.012639417949126175,0.0023076314414906965
Maryland,0.9371173322823314,0.01124126857109759,0.0020523654571213386
Vanderbilt,0.9407463622223977,0.01020843052211453,0.0018637958912287895
Illinois,0.9262865116617855,0.011880204016607837,0.0021690185758865303
Oklahoma St.,0.9187927882248798,0.015213822932153563,0.0027776513352766314
Indiana,0.9185187905479569,0.01224720118448355,0.00223602278501521
Florida St.,0.933835836312355,0.011378855940655297,0.002077485359099524
Utah,0.921115340024605,0.013609364193033753,0.002444313966282203
California,0.9197591722905558,0.012972237525317213,0.0023683957046437437
Iowa St.,0.9227712541854091,0.012450825203047503,0.002273199274420986
Georgia Tech,0.9243685664216096,0.01217531456122121,0.0022228981433006566
Louisville,0.9181871543539502,0.01219672541973016,0.002226807213360958
Mississippi St.,0.909535366423636,0.014361113969354628,0.0026219686906393614
Creighton,0.9140685591693481,0.015016793107274483,0.00274167877541411
Richmond,0.9004177804123423,0.019425117570319818,0.0035465250251513697
Minnesota,0.8980006204673161,0.015321405090908308,0.0027972930603216567
Washington,0.9018854610939697,0.01451138365595713,0.0026494040563265022
Nebraska,0.9005477422047851,0.014801577215128368,0.002702385909126768
Oregon,0.8786736130543328,0.017239034560501913,0.003096222008888957
Columbia,0.8655478844701793,0.023823935545073237,0.004349635635528582
Princeton,0.8544366171727686,0.023723112652854594,0.004331227978068228
George Mason,0.8491951622440506,0.025471238655050576,0.004574769511636423
Harvard,0.8341162370491982,0.03033118179440452,0.005537690821528459
Virginia Tech,0.8683955080570751,0.01711221316381224,0.0030734442136330507
UNLV,0.8453498270643661,0.025364331090381942,0.004630872098077265
Arizona,0.818393245964369,0.021741640387952555,0.0039694622925489954
Belmont,0.8214311303227652,0.024372183200626753,0.0044497315048772435
Marquette,0.8013875434276256,0.02603937097153093,0.004676809087929048
Colorado,0.8249770762352947,0.021953624061498485,0.004008165039156968
Middle Tennessee,0.7906939826943327,0.03250488040422038,0.0059345520754663815
Auburn,0.8131738915395681,0.01857869471569336,0.0033919900615957603
Florida Gulf Coast,0.788857360073725,0.03488802188694947,0.0063696521914053915
Stanford,0.8337841784572256,0.01969187961414412,0.0035952288881142868
South Dakota St.,0.8066536522265692,0.032464121145917894,0.006135142220312283
Florida,0.8192138576179576,0.02052017201657922,0.0036855316926790857
Saint Joseph's,0.7915943269880062,0.029828516652269054,0.0054459171424554136
Seton Hall,0.7865628604666625,0.02809559634927606,0.0051295306290194305
Clemson,0.809481106421474,0.019527116466235027,0.0035651473905291635
