team,conf,games,wins,losses,adj_t,adj_o,adj_d,barthag,efg,def_efg,ftr,def_ftr,oreb_rate,dreb_rate,tov_rate,def_tov_rate,two_pt_pct,three_pt_pct,ft_pct,def_two_pt_pct,def_three_pt_pct,def_ft_pct,three_fg_rate,def_three_fg_rate,block_rate,block_rate_allowed,assist_rate,def_assist_rate,wab,year
Connecticut,BE,31,28,3,69.0257,128.632,73.5894,0.998378,58.2,41.4,17.5,17.7,31.9,25.7,15.8,27.8,58.5,38.4,76,38.9,30.1,NA,36.4,39.5,0,0,66.7,57.6,9.46005,2025
South Carolina,SEC,31,28,3,69.6593,123.191,73.8805,0.997213,51.1,39.3,26.4,20,39.6,31,16.9,23.4,51.4,33.5,76.1,37.4,29.3,NA,26.9,28.3,0,0,54.3,52.1,14.4926,2025
Texas,SEC,32,30,2,69.2255,120.99,74.771,0.996068,49.5,41.7,34.7,33.4,44.1,29.8,18.4,30,50.3,30.5,75.3,41.7,27.9,NA,16.9,25.1,0,0,55.4,47.6,13.3984,2025
Notre Dame,ACC,30,26,4,74.8649,118.245,74.2626,0.995271,54.7,40.3,24.2,20.8,35.1,27,19.8,23.8,52.5,40,77.2,40.2,26.9,NA,28.2,30.7,0,0,53.9,46.8,10.4718,2025
UCLA,B10,30,28,2,69.3297,120.325,76.7553,0.994348,53.3,39.9,25.4,22.7,41.7,26,21.1,21.5,56.2,31.7,72.2,38.1,29,NA,33.7,33.3,0,0,67.8,54.4,12.4911,2025
USC,B10,29,27,2,73.8592,116.2,74.2178,0.994266,50.1,39.9,32.8,26.8,36.5,27.6,19.5,25.8,50.6,32.7,77.1,38.9,28.2,NA,32.4,29.4,0,0,59.7,59,12.3132,2025
Duke,ACC,31,24,7,68.9653,111.704,74.4364,0.990696,49.6,43.5,24.7,27.8,40.6,30.2,20.8,29.4,49,34.3,67.8,42.8,30.1,NA,27,27.1,0,0,59.1,50.5,8.21778,2025
TCU,B12,32,29,3,66.3263,122.461,83.3839,0.988108,55.5,41.3,23.4,24.8,33.9,25.2,17.2,20.1,54.8,37.7,74.1,38.4,32.7,NA,42.3,27.1,0,0,66,49.1,8.724,2025
West Virginia,B12,30,24,6,70.7372,110.42,75.2845,0.987928,50.8,44.3,30.7,28.3,36.5,29.4,21.7,33.5,51.7,32.8,75.5,44,29.9,NA,36,34.7,0,0,49.8,54.2,4.74606,2025
Oklahoma,SEC,31,25,6,78.258,113.167,78.7782,0.984717,52.6,42.1,28.9,25.9,37.4,25,23.5,21.1,55.3,32.2,71.9,41,29.5,NA,38.4,33.7,0,0,69.6,53.2,8.14133,2025
Ohio St.,B10,29,24,5,73.245,112.683,78.7265,0.984077,50.7,45.4,31.3,26.4,29.6,31.1,16.7,29.4,50.5,34,69,45.5,30.1,NA,29.8,33.8,0,0,49.9,53.8,6.74495,2025
Kansas St.,B12,33,26,7,69.8876,117.022,81.7803,0.984027,55.8,41.3,23.1,21.3,30.4,25.3,18.1,21.6,54.5,38.8,71.6,40.3,29,NA,35.3,32.1,0,0,70.6,49.1,4.98644,2025
Kentucky,SEC,29,22,7,69.3231,114.434,80.1007,0.983733,51.6,39.4,23.2,25.6,29.1,30.1,18.5,18.1,54.4,31.7,78.3,39.6,26,NA,40.3,28.8,0,0,59.5,51.1,6.17832,2025
LSU,SEC,31,27,4,73.5635,115.207,80.8109,0.983342,49.2,41.9,31.8,26.5,43.5,29.9,19.3,23.4,48.9,33.6,73.6,42.8,27,NA,20.9,36.7,0,0,46.8,49.2,8.60611,2025
Mississippi,SEC,30,20,10,68.0866,113.938,79.9585,0.983253,48.3,45.2,32.3,31.9,41.6,28.8,19.5,29.8,49,30.9,70.4,44.7,31.2,NA,26.8,24.6,0,0,60.6,54,4.52302,2025
Alabama,SEC,30,23,7,69.4876,115.906,81.9593,0.981755,53.8,41.9,28,26.9,32.4,31.1,19.7,23.2,51.1,39.1,68.5,41.8,28.1,NA,36.2,29.3,0,0,53.3,53.1,5.52349,2025
Baylor,B12,32,26,6,70.7881,113.59,80.4618,0.981391,51.1,42.3,27.5,29,37.1,25.5,18.8,24.2,50.4,35,66.1,42.6,27.9,NA,34.5,29.8,0,0,64,51.4,6.1014,2025
N.C. State,NA,30,25,5,71.0398,117.123,83.5915,0.979743,50.5,44,25.9,17.3,30.8,26.6,16.2,19.2,51.1,32.9,67.5,43.6,29.8,NA,32,35.7,0,0,47.4,45.7,8.64755,2025
North Carolina,ACC,33,27,6,68.0749,108.481,77.5646,0.979323,49.1,41.6,24.2,23.7,31.5,27.5,18.4,24,47.8,34.3,66.7,39.4,30.7,NA,35.5,33.2,0,0,54,51,8.24614,2025
Iowa,B10,31,22,9,69.464,112.857,80.9413,0.978597,52.8,46.2,30.8,25.3,32,24.5,22.2,21.8,53.1,34.8,72.1,43.3,34,NA,35.6,38.3,0,0,65.3,56.1,5.79692,2025
Tennessee,SEC,31,22,9,76.8812,115.969,83.7591,0.976839,50.6,47.9,22.8,31.2,39.3,31.6,18.2,28.2,51.8,32.6,68.9,50,28.5,NA,41.4,29,0,0,47.6,53.1,5.53474,2025
Michigan,B10,31,22,9,71.5591,114.259,82.5598,0.976725,51.7,46,27.9,28.5,34.3,27.5,20.9,24.6,50.6,35.9,74.2,47.4,28.9,NA,33.3,35.1,0,0,55.6,54.1,5.6508,2025
Michigan St.,B10,30,21,9,73.699,111.856,81.925,0.972912,50.2,45.2,33.5,34.6,33.5,30.2,20,29.2,50,33.7,72.9,44.2,31.6,NA,32.3,32.2,0,0,64.1,63.6,4.63659,2025
Maryland,B10,30,23,7,71.9145,118.728,87.4166,0.971271,51.6,46.7,36.6,27.4,39,29.1,22.1,21.6,51,35.4,75.9,45.7,32.4,NA,28.2,33.8,0,0,51.7,56.2,7.41496,2025
Vanderbilt,SEC,32,22,10,72.45,118.498,87.4989,0.970332,50.3,48.5,28.2,23.7,37.6,35.5,18.4,27.8,50.1,33.9,78.4,50.3,29.9,NA,30.7,32.1,0,0,54,53.4,4.05381,2025
Illinois,B10,30,21,9,67.0259,112.166,83.141,0.96904,48.4,44.5,31.9,23.4,30.5,25.7,18.1,19.8,47.1,34.5,79.4,45.3,28.4,NA,28.4,29.4,0,0,58,53.2,3.46468,2025
Oklahoma St.,B12,29,24,5,70.9727,107.163,79.7504,0.967633,52.3,40.8,31,26.2,33.9,25.4,20.6,22.9,52.7,34.5,70.5,41.7,26.2,NA,38.6,35,0,0,50.4,49,4.48447,2025
Indiana,B10,31,19,12,68.0116,110.503,82.6848,0.965612,52.3,45.9,28.8,26.5,22.6,25.2,20.6,20.1,50.5,36.7,78.9,45.2,31.8,NA,38.8,29.4,0,0,66.4,54.4,2.82542,2025
Florida St.,ACC,31,23,8,75.959,116.974,87.6377,0.965126,50.6,45.7,27.1,23.8,30.9,30.7,14.2,21.4,49.9,34.7,79.1,45.2,31.4,NA,35.2,26.9,0,0,42.4,53.9,4.48867,2025
Utah,B12,30,22,8,69.5318,112.941,85.0577,0.963053,55,46.5,27.1,23.1,31.2,24.7,22.6,24,54.4,37.1,75.5,44.8,33.4,NA,45.7,32.8,0,0,67.8,55.3,3.7611,2025
California,ACC,33,25,8,70.0684,111.347,83.9847,0.962427,53.5,43.6,27.9,25.7,32.7,28.7,25.1,20.3,54.1,35.2,72.1,41.6,32.9,NA,43.6,25.6,0,0,58.2,44,5.05388,2025
Iowa St.,B12,33,22,11,70.4151,116.065,87.8012,0.961184,54.4,46.3,34,23.1,26.4,22.6,20,18.6,54.7,36,73,42.3,34.9,NA,39.4,39.5,0,0,70.6,53,2.18369,2025
Georgia Tech,ACC,32,22,10,69.5593,113.828,86.2532,0.960462,50.2,46,20.5,19.1,34.1,26.7,16.7,21.5,51.5,32.1,75.6,46.8,29.2,NA,37.3,28.6,0,0,60.2,52.7,2.55647,2025
Louisville,ACC,31,21,10,68.6149,111.296,84.3931,0.960156,47.8,49.4,27.5,31.4,38.1,31.4,22.2,26.3,47.8,32,71.3,49.4,33,NA,29.8,32.1,0,0,53.9,53,5.24359,2025
Mississippi St.,SEC,32,21,11,70.7516,111.268,84.9034,0.957302,51.4,43.7,25.5,26.3,37.5,28.1,23,23.5,52.4,33,71.3,42.4,30.7,NA,32.6,35.6,0,0,52.8,55.9,2.43885,2025
Creighton,BE,29,24,5,68.08,115.458,88.3961,0.955699,53,47.4,18.4,21.4,25.5,26.3,16.5,20.3,51.7,36.6,80.1,47.8,30.9,NA,42,28,0,0,63.7,55.5,5.11908,2025
Richmond,A10,32,27,5,65.72,113.602,87.7571,0.951131,58.3,44,25.6,14.9,29,28.8,22.1,23.2,58.9,38.5,76.3,43.3,30,NA,46.4,40.2,0,0,66.9,51.9,2.75862,2025
Minnesota,B10,31,20,11,67.3206,111.571,86.3993,0.949804,48.8,46.5,25.6,23.6,33.5,25.1,16.2,22.6,49.3,31.8,75.2,45.6,32,NA,33.2,35,0,0,57.9,60.8,0.172377,2025
Washington,B10,32,19,13,66.4615,114.618,89.1679,0.947222,54.4,45.9,16.6,22.9,33.3,31.6,22,20.8,53.6,37.3,79,45.3,31.4,NA,35.6,27.9,0,0,50.8,50.1,0.82544,2025
Nebraska,B10,32,21,11,69.2382,115.818,90.2178,0.946477,51.9,47.5,29.3,25.7,33.6,27.6,20.3,19.5,49.6,37.3,73.9,46.6,32.7,NA,36.6,34.2,0,0,65.7,56.7,3.22405,2025
