team,conf,games,wins,losses,adj_t,adj_o,adj_d,barthag,efg,def_efg,ftr,def_ftr,oreb_rate,dreb_rate,tov_rate,def_tov_rate,two_pt_pct,three_pt_pct,ft_pct,def_two_pt_pct,def_three_pt_pct,def_ft_pct,three_fg_rate,def_three_fg_rate,block_rate,block_rate_allowed,assist_rate,def_assist_rate,wab,year
Stanford,P12,33,31,2,68.6492,123.041,72.2754,0.997803,53.4,37.7,20.1,25.2,37.8,26.9,18.6,21.6,51,38.4,71.3,35.3,28.2,NA,35.6,34.1,0,0,55.1,46.8,12.1812,2021
Baylor,B12,31,28,3,71.8458,115.58,71.3963,0.996088,51.1,37.2,29.9,27.5,45.3,23.3,21.6,23.7,51.4,33.1,71.1,35,27.7,NA,16.1,32.7,0,0,63,51.4,10.256,2021
Connecticut,BE,30,28,2,69.4678,116.394,72.0224,0.996011,56.4,38.7,24.5,17.8,36.4,24.6,19.6,24.7,57.8,35.6,71.4,37.5,27.2,NA,30,36.5,0,0,63.7,54.1,7.15284,2021
Maryland,B10,29,26,3,71.3109,128.523,82.5381,0.993896,55.6,46.3,29.1,24.8,41,31.8,16.3,22.2,53.7,40,79,44.5,33.1,NA,30.2,33.8,0,0,60.6,52.6,10.0485,2021
South Carolina,SEC,31,26,5,69.9748,112.723,72.7066,0.993586,47.2,39.6,31.7,20.3,42.6,25.6,19.6,19.9,46.4,33.7,68.2,39.1,27.5,NA,20.3,23.3,0,0,45.4,43.1,9.99186,2021
Arizona,P12,27,21,6,68.4155,107.219,72.695,0.98867,46.1,41.3,26.8,26.4,27.3,27.4,17.6,25.8,44.1,33.7,69.1,39.4,30.9,NA,31,28.5,0,0,46.9,52.2,5.52884,2021
UCLA,P12,23,17,6,68.3423,114.279,77.9123,0.987934,45.3,44.3,30.4,29.5,39,28,17.4,25.3,42.8,33.8,73.1,43.8,30.1,NA,31,34,0,0,56.9,51.2,6.1957,2021
Louisville,ACC,30,26,4,68.3702,115.406,80.1162,0.985186,52,41,21.3,28.6,33.5,31,17.2,22.1,51.5,35.3,78.8,40.9,27.6,NA,33.2,29,0,0,50.3,50.7,7.32451,2021
N.C. State,NA,25,22,3,68.811,114.667,80.2131,0.983848,52.8,42.5,27,19.3,30.2,24.8,18.2,17.7,51.8,36.7,75.3,41.1,29.9,NA,31.7,35.9,0,0,54.7,44.3,8.10538,2021
Indiana,B10,27,21,6,69.2258,108.695,77.2874,0.980577,48.8,41.8,31.3,22.6,28.1,24.6,15.5,21.3,50.9,28,71.8,39.9,31.2,NA,23.9,27.4,0,0,50.7,41.4,5.47665,2021
Oregon,P12,24,15,9,66.8416,112.786,80.6031,0.979437,50.5,42.2,19.4,23.9,35.1,30.1,18.7,21.2,49.4,35.1,70.5,40.8,30.1,NA,32.6,31.8,0,0,55.9,56.9,3.64483,2021
Michigan,B10,22,16,6,68.3923,113.778,82.05,0.977237,49.5,44.1,34.6,26.6,39.4,26.2,22.1,18.2,50.9,30.7,74.3,43.1,31,NA,29.2,30.4,0,0,57.4,46.1,3.84386,2021
