Seed,Opponent,Record,Win_Percentage
#1,#1,26-26,50.0%
#1,#2,43-35,55.1%
#1,#3,27-15,64.3%
#1,#4,56-25,69.1%
#1,#5,49-12,80.3%
#1,#6,12-5,70.6%
#1,#7,6-1,85.7%
#1,#8,74-20,78.7%
#1,#9,80-8,90.9%
#1,#10,7-1,87.5%
#1,#11,6-4,60.0%
#1,#12,20-0,100.0%
#1,#13,4-0,100.0%
#1,#14,0-0,0.0%
#1,#15,0-0,0.0%
#1,#16,154-2,98.7%
#2,#1,35-43,44.9%
#2,#2,3-3,50.0%
#2,#3,44-29,60.3%
#2,#4,5-5,50.0%
#2,#5,2-6,25.0%
#2,#6,26-11,70.3%
#2,#7,74-31,70.5%
#2,#8,4-6,40.0%
#2,#9,2-1,66.7%
#2,#10,42-23,64.6%
#2,#11,16-4,80.0%
#2,#12,2-0,100.0%
#2,#13,0-0,0.0%
#2,#14,0-0,0.0%
#2,#15,145-11,92.9%
#2,#16,0-0,0.0%
#3,#1,15-27,35.7%
#3,#2,29-44,39.7%
#3,#3,1-1,50.0%
#3,#4,5-4,55.6%
#3,#5,2-2,50.0%
#3,#6,56-41,57.7%
#3,#7,12-7,63.2%
#3,#8,2-0,100.0%
#3,#9,3-1,75.0%
#3,#10,9-4,69.2%
#3,#11,42-20,67.7%
#3,#12,0-0,0.0%
#3,#13,0-0,0.0%
#3,#14,133-23,85.3%
#3,#15,2-1,66.7%
#3,#16,0-0,0.0%
#4,#1,25-56,30.9%
#4,#2,5-5,50.0%
#4,#3,4-5,44.4%
#4,#4,1-1,50.0%
#4,#5,59-45,56.7%
#4,#6,3-4,42.9%
#4,#7,2-4,33.3%
#4,#8,5-8,38.5%
#4,#9,2-3,40.0%
#4,#10,2-0,100.0%
#4,#11,0-1,0.0%
#4,#12,33-13,71.7%
#4,#13,123-33,78.8%
#4,#14,0-0,0.0%
#4,#15,0-0,0.0%
#4,#16,0-0,0.0%
#5,#1,12-49,19.7%
#5,#2,6-2,75.0%
#5,#3,2-2,50.0%
#5,#4,45-59,43.3%
#5,#5,1-1,50.0%
#5,#6,2-1,66.7%
#5,#7,0-0,0.0%
#5,#8,1-3,25.0%
#5,#9,2-3,40.0%
#5,#10,1-0,100.0%
#5,#11,0-0,0.0%
#5,#12,118-58,67.0%
#5,#13,18-3,85.7%
#5,#14,0-0,0.0%
#5,#15,0-0,0.0%
#5,#16,0-0,0.0%
#6,#1,5-12,29.4%
#6,#2,11-26,29.7%
#6,#3,41-56,42.3%
#6,#4,4-3,57.1%
#6,#5,1-2,33.3%
#6,#6,0-0,0.0%
#6,#7,6-3,66.7%
#6,#8,1-3,25.0%
#6,#9,0-0,0.0%
#6,#10,6-4,60.0%
#6,#11,109-67,61.9%
#6,#12,0-0,0.0%
#6,#13,0-0,0.0%
#6,#14,14-2,87.5%
#6,#15,1-0,100.0%
#6,#16,0-0,0.0%
#7,#1,1-6,14.3%
#7,#2,31-74,29.5%
#7,#3,7-12,36.8%
#7,#4,4-2,66.7%
#7,#5,0-0,0.0%
#7,#6,3-6,33.3%
#7,#7,0-0,0.0%
#7,#8,1-1,50.0%
#7,#9,0-0,0.0%
#7,#10,109-70,60.9%
#7,#11,0-4,0.0%
#7,#12,0-0,0.0%
#7,#13,0-0,0.0%
#7,#14,1-0,100.0%
#7,#15,2-4,33.3%
#7,#16,0-0,0.0%
