"team","conf","games","wins","losses","adj_t","adj_o","adj_d","barthag","efg","def_efg","ftr","def_ftr","oreb_rate","dreb_rate","tov_rate","def_tov_rate","two_pt_pct","three_pt_pct","ft_pct","def_two_pt_pct","def_three_pt_pct","def_ft_pct","three_fg_rate","def_three_fg_rate","block_rate","block_rate_allowed","assist_rate","def_assist_rate","wab","year"
"Houston","B12",28,24,4,61.7,124.93204046647,87.88300372084,0.98279634557174,53.1,44.9,27.3,36.2,37.3,28.8,14.8,22,49.3,40.2,73.7,43.2,31.4,69,34.3,44.3,16.6,6.4,47.1,57,7.9875077766369,2025
"Duke","ACC",28,25,3,66.6,126.89543971406,89.859102727029,0.98145591044181,58,44.2,31.6,25.5,34.7,26.2,14.4,17.9,57.6,39.1,77.9,43.3,30.4,70.9,45.3,38.1,9.9,10.1,59.7,53.4,7.0310547947038,2025
"Auburn","SEC",28,26,2,69.2,130.85919643758,93.251144699272,0.98009140148694,55.8,45.3,33.3,38,35.8,29.1,13.1,17.1,56.4,36.7,74.5,45.9,29.5,72.8,40.5,34.3,17.3,7.8,55.5,39,11.693596001707,2025
"Florida","SEC",28,24,4,70,123.98894540342,94.157976622488,0.9594961795907,54.3,44.9,31.6,31,38,28.5,15.1,17.9,55.5,35.1,71.3,45.5,29.2,70.8,43.3,37.4,12.4,8.8,52.4,47.2,6.9227587664867,2025
"Tennessee","SEC",28,23,5,64.7,116.64481538821,88.582570014739,0.95948724116222,52.6,43.6,32.6,27.6,36.7,28.9,16.4,18.9,53.3,34.4,74.6,45.5,27.6,73.5,43,46.2,17.1,9.5,59.9,45.8,7.3854957591468,2025
"Alabama","SEC",28,23,5,75.3,127.37183868957,96.912597743165,0.95863055806488,56.8,47,41,32.7,36.2,29.7,17.3,13.5,60.7,35,72.2,48.2,29.9,70.9,47.4,35,10.4,12.3,54.8,42.3,8.7370934384662,2025
"Arizona","B12",28,19,9,70.9,120.63163609071,94.063085013624,0.9458805589805,52.6,47.4,35.8,28.4,36.8,27.8,16.7,17.5,55.4,31.7,77.4,47.3,31.7,70.4,35.1,42.5,12.2,6.4,59.3,53.4,4.0037439846618,2025
"Texas Tech","B12",28,21,7,66.6,123.19995740682,96.067825800452,0.9458678103951,55.6,47.5,29.9,33.3,35,28.3,15.8,18.3,55,37.6,76.8,46.9,32.4,68.7,42.8,35.3,7.8,7.9,58.4,46.7,3.7590934905038,2025
"Missouri","SEC",28,21,7,69,126.02567541423,99.553714932684,0.93770566335295,56.8,49.5,47.3,33.6,33.2,31.5,15.2,20.8,57.2,37.5,72.2,49.4,33.1,74.7,41.9,38,8,10.5,50.6,47.8,3.7555970938313,2025
"Gonzaga","WCC",30,22,8,71,123.03983059604,97.281849850777,0.93710333954053,56.1,47.5,30.8,29.1,33.4,26,13.5,18.1,58,34.9,80.2,48.6,30.7,73.1,33.8,41.4,8.6,8.4,61.8,48.9,1.2001625418897,2025
"Maryland","B10",28,21,7,70.7,118.42904758376,93.746350236998,0.93630259431247,54.9,47.2,32.7,26.2,31.6,26.3,14.9,19.7,54.6,37,75,47.7,31,73.1,35.8,36.2,11.7,5.7,49.5,48.2,2.7395998477056,2025
"Iowa St.","B12",28,21,7,69.5,118.04395816322,93.44951317923,0.93624390339195,54,48.6,39.6,27,33.3,27.6,16.7,21.7,55.1,34.8,74.7,47.3,33.7,73.1,36,39.1,10.1,9,54,53.7,4.1682642223022,2025
"Wisconsin","B10",28,22,6,68.1,123.93396832971,98.29557030532,0.93495106708898,55.6,48.3,34,27.4,28.4,26.2,14.3,14.9,56.8,36.2,83.3,47.7,32.8,72.8,47.7,39.1,5.7,10.5,54,46.2,5.0371452900723,2025
"Illinois","B10",29,18,11,72.3,120.40970937156,95.759338024291,0.9330312920462,52,46.3,34.7,27,35.6,26.4,15.9,13.1,57.5,30.5,75.6,45.1,32.7,71.4,47,30.2,9.3,8.9,50.8,45.3,1.9513501931533,2025
