"team","conf","games","wins","losses","adj_t","adj_o","adj_d","barthag","efg","def_efg","ftr","def_ftr","oreb_rate","dreb_rate","tov_rate","def_tov_rate","two_pt_pct","three_pt_pct","ft_pct","def_two_pt_pct","def_three_pt_pct","def_ft_pct","three_fg_rate","def_three_fg_rate","block_rate","block_rate_allowed","assist_rate","def_assist_rate","wab","year"
"North Carolina","ACC",37,33,4,74.2,122.45421464362,91.562268873767,0.96588330471866,52.8,46.6,39.8,25.4,39.2,32.2,16.6,20.7,51,38.5,75.6,44.7,33.6,69.2,27.2,32.8,11.7,9.4,57,51.1,7.7080112144288,2009
"Connecticut","BE",36,31,5,68.5,115.76346050899,86.733655918485,0.96511297753513,51.3,42.4,46.4,19.5,39.8,30.6,18.1,16.8,51.4,34.1,67.8,40.9,30.4,69.9,23,30.3,17.1,7.8,56.9,51.5,8.7714401361712,2009
"Memphis","CUSA",37,33,4,67.9,110.87731065643,83.40069068345,0.96355511014714,50.1,41.4,39.9,35.5,38,30.4,18.3,22.4,50.6,32.6,69,40,30,68.6,31.3,28.3,15.2,6.9,53.7,48.2,7.0548458110575,2009
"Pittsburgh","BE",35,30,5,66.2,120.4488465272,91.691952250104,0.9583970550633,52.9,46.5,33,30.2,42.5,30.1,18.2,19.2,52.8,35.4,67.5,45.1,32.9,70.2,29.3,33.8,10.2,7.7,60.8,55.1,8.6155551076399,2009
"Louisville","BE",37,31,6,68.2,111.02282611207,85.302375337722,0.95393910348023,52.7,44.3,31.4,30.2,35.2,32.4,19.9,23.3,51.1,36.9,64.2,43.3,30.9,68.1,37.8,30.5,15.3,8.3,62.4,54,8.0651377995729,2009
"Duke","ACC",37,30,7,68.2,116.35678795107,90.965353470086,0.94433340485791,50.5,47.8,41.4,31,37.4,33.2,17.6,23.5,49.6,34.9,72.8,46.7,33.8,68.9,35,25.9,9.4,10.1,50.7,42.9,7.8896166517958,2009
"Missouri","B12",38,31,7,71.8,116.13729556308,90.864801747953,0.94385867214979,52.7,46.3,36.6,39.9,34.3,34.7,16.3,25.1,52.7,35.2,67.2,46.7,30.3,67.4,31.4,30,9.3,5.9,62.2,50.2,6.1180530150288,2009
"Gonzaga","WCC",33,27,6,68.9,115.22870360284,90.514622390144,0.94137530644011,55.2,44.2,35.5,29.5,30.8,30.4,16.4,21.3,53.3,39.4,71.5,39.4,35.2,68.4,32.1,35.5,13.2,7.3,52.7,51.9,4.4887667434291,2009
"UCLA","P10",35,26,9,66.7,119.13584577375,93.693703090786,0.94062572790295,55.7,49.8,31.2,35.6,36.3,31.3,19,23.9,53.5,39.9,72.4,48,36.1,69.6,33.2,29.4,8.6,5.6,55.9,51.7,4.5195711357384,2009
"West Virginia","BE",35,23,12,65.6,113.65088006073,89.678762581637,0.93844649829179,48.5,46.6,35.9,38.4,41,31.5,18.2,23.4,48,32.9,69.8,47.1,30.2,68.2,34,30,12.5,8.9,59.8,52.1,3.9300635438721,2009
"Kansas","B12",35,27,8,68.2,113.74844926044,89.971989967754,0.93682848872009,53.2,44,39.5,35.1,36.7,29.2,20.8,19.4,52.2,37.1,72.5,40.8,33.4,72.6,29.6,34.1,11.6,8.2,58.7,56.8,5.4496660702442,2009
"Oklahoma","B12",36,30,6,68.1,117.80208635661,93.395982893957,0.93522170018301,55.2,45.8,46.5,28.8,36.9,31.9,20.1,18.3,56.6,35.1,67.5,43,33.9,68.8,34.5,35.4,11.1,5.5,53.1,49.1,7.410585875784,2009
"Michigan St.","B10",38,31,7,67.8,113.30374399788,89.840527548951,0.93513691844065,49.8,47.2,41.1,36.5,40.7,27.1,20.9,20.3,48.5,35.4,69.8,47,31.8,69.6,26.6,35.7,8.2,8.4,63.5,52.4,7.3764871566726,2009
"Arizona St.","P10",35,25,10,60.8,117.27437522663,93.321693230762,0.93260006386937,56.4,47,38.7,30.9,29.1,30,18.6,19.5,57.1,37,73.7,46.5,31.9,73.8,45.3,36.7,6.3,7.3,65.9,56.8,4.7342350171916,2009
"Villanova","BE",38,30,8,68.7,113.0107782565,90.118002812144,0.93106578525714,50.8,47.3,41.9,38.7,36.1,29.9,19,21.7,49.8,35.2,75.3,45,33.7,67.8,32,41.5,10.3,8.7,55.7,61.2,6.0328544797308,2009
"Purdue","B10",37,27,10,67.7,108.78370629993,87.396931260054,0.92535031184637,50,44.1,33.2,31.3,29.4,31.8,17.3,22.4,49,34.7,70.3,41.8,32.8,67,34,30.5,12.5,8,60.4,58.6,3.9145855448213,2009
"Syracuse","BE",37,27,10,71.2,115.46379900019,93.073143518333,0.92266152274932,54.4,46.7,39.3,26.2,35.9,35.3,20.8,19.2,55.4,34.9,64.6,48.1,29.6,63.6,32.6,37.9,12.3,9.6,61.7,60.8,5.9104389182567,2009
"Washington","P10",34,25,9,73.5,111.69390674147,90.098191713218,0.92207743918473,48.8,46.8,44.3,33.3,41.9,31,20.1,20.2,48.4,33.8,69.9,45.4,33.4,68.2,20.3,28.8,6.3,6.4,46.4,48.5,4.9423756389058,2009
"Marquette","BE",35,25,10,69.2,116.13081899839,94.742794578674,0.91220357326274,51.2,50.9,45.4,30.1,35,30.6,16.7,21.5,50.7,34.7,72.8,50.3,34.7,67.3,34.6,34.7,7.7,8.7,57.5,54.4,3.442636957946,2009
"BYU","MWC",32,24,8,70.1,113.3804815392,92.805320771777,0.90911038238487,54.8,45.9,35.2,36.3,28.3,25.7,16.5,20.1,53.6,38.1,72.8,46.3,30.2,70.4,33.6,34.3,9.8,6.4,59.3,51.4,2.3298045322922,2009
